amount,time,location,device,frequency,amount_ratio,is_new_location,is_new_device,is_fraud
24706,3,Mumbai,Android,4,1.0210356655783774,1,1,0
43856,9,Kolkata,Web,8,1.0518792123378025,0,1,0
19853,14,Mumbai,Web,3,0.604500334936971,1,1,0
15359,15,Bangalore,Android,5,0.5525615196431141,1,0,0
12597,22,Delhi,Android,10,1.4923587252695178,1,1,0
33239,7,Mumbai,Web,10,1.2333580705009277,1,1,0
41175,18,Kolkata,Android,1,2.076713572401271,0,0,0
58734,15,Bangalore,Android,6,13.107342111135907,0,0,1
30551,19,Kolkata,Android,7,1.0554845396441528,1,1,0
18166,18,Kolkata,iOS,10,20.25195094760312,0,1,1
51933,23,Delhi,Android,3,1.2558156405668133,0,0,0
4073,8,Mumbai,Web,1,0.1431886095974688,0,1,0
21010,22,Mumbai,Android,4,2.2535664485680575,1,1,0
29907,4,Delhi,Android,2,0.9630643395375797,0,1,0
54468,16,Bangalore,iOS,7,1.8967822816548265,0,1,0
5913,2,Mumbai,Android,10,0.40602897754583533,0,0,0
31374,14,Kolkata,iOS,5,0.6621501836140307,1,1,0
551,13,Mumbai,Android,10,0.012074595139482391,1,1,0
9826,0,Kolkata,Android,1,1.3330619997286663,0,0,0
16128,22,Kolkata,Web,4,1.9368319923141588,0,1,0
33482,10,Bangalore,iOS,6,2.7552666227781435,0,1,0
33232,1,Bangalore,Web,6,0.8648536109303838,0,0,0
13593,16,Bangalore,Android,7,0.8044147236359332,0,1,0
14820,20,Kolkata,Web,9,0.30720756203229616,1,0,0
34624,5,Delhi,iOS,8,5.204268750939426,0,1,0
50257,3,Delhi,Android,3,1.3617937948787426,1,0,0
41533,11,Mumbai,Web,5,1.979175601620205,0,0,0
34041,10,Mumbai,iOS,2,1.6913942164364504,1,0,0
23694,0,Kolkata,Android,6,0.7780258750903001,1,0,0
8057,22,Delhi,iOS,4,0.27878892733564015,1,1,0
18034,5,Bangalore,Android,7,0.5402960033555037,0,0,0
31300,6,Kolkata,Web,7,6.190664556962025,1,0,1
4147,5,Delhi,iOS,10,0.5127983182886113,1,1,0
57029,5,Kolkata,Android,9,5.361380088370781,1,1,1
57782,2,Delhi,Android,7,23.623058053965657,1,1,1
36854,16,Delhi,Web,7,1.333550441453177,0,0,0
12312,8,Delhi,Android,3,0.9758262661488468,0,0,0
44604,9,Bangalore,iOS,10,1.3326959275747707,1,0,0
40049,22,Mumbai,Android,4,1.429300499643112,0,1,0
26960,13,Kolkata,iOS,4,0.9128771205092608,1,1,0
24088,6,Bangalore,Android,8,2.8229227704207194,0,0,0
46854,22,Bangalore,iOS,8,1.01284046692607,0,0,0
49441,6,Delhi,Web,7,1.163618818988444,1,1,0
10217,8,Mumbai,Android,7,0.29870775347912526,0,1,0
5259,14,Delhi,Web,9,0.11933017176828299,0,1,0
34547,21,Kolkata,Android,5,34.2049504950495,0,0,1
18991,4,Delhi,iOS,8,0.4396879051676236,1,1,0
55542,0,Delhi,iOS,3,1.2601415736455213,0,1,0
2079,10,Mumbai,iOS,4,0.4100591715976331,1,0,0
28386,9,Mumbai,Web,9,1.0914753720152266,1,0,0
58639,7,Mumbai,Android,5,2.0602557796360057,0,0,0
20623,18,Kolkata,Web,8,2.123018324068355,0,0,0
33158,1,Mumbai,iOS,9,3.7670983867302885,1,1,0
506,2,Mumbai,iOS,6,0.011770452906557491,1,1,0
23145,22,Mumbai,Android,7,0.7720146764509673,0,1,0
57584,17,Mumbai,iOS,9,2.2178400862733016,0,0,0
3757,23,Delhi,Web,3,1.2452767649983427,1,0,0
41581,18,Mumbai,Android,5,1.438540044974918,1,1,0
25809,12,Bangalore,Android,9,0.5165002301426884,1,1,0
20800,6,Bangalore,Web,6,2.288732394366197,1,0,0
4625,14,Kolkata,iOS,10,0.10671188943494612,1,0,0
40949,9,Kolkata,Android,8,0.9174807313138555,0,1,0
46603,9,Delhi,Web,1,3.6712620135497085,1,1,0
12847,21,Bangalore,iOS,8,1.269090190654944,1,1,0
36810,15,Kolkata,Web,7,0.9405421979201267,0,1,0
26787,2,Bangalore,Web,5,0.6387590614269363,0,1,0
35238,3,Bangalore,iOS,5,0.8967096724940835,0,1,0
13723,8,Kolkata,Android,4,5.753878406708595,1,1,1
49304,13,Kolkata,iOS,9,4.111064787792879,1,0,0
32064,4,Delhi,iOS,1,4.287777480609789,0,1,0
9986,14,Mumbai,iOS,8,1.5911408540471639,0,0,0
37561,8,Kolkata,Android,8,0.864265991716521,1,0,0
42150,16,Kolkata,Web,5,1.5659248801872423,1,0,0
34463,7,Delhi,Web,5,8.156923076923077,1,0,1
12038,13,Delhi,Android,10,0.45740557793145376,1,1,0
3853,10,Kolkata,Android,1,0.1877314363671799,1,1,0
58438,21,Delhi,iOS,6,1.409809172275699,1,0,0
56918,14,Kolkata,Android,2,4.541088239987235,1,1,0
19155,13,Delhi,Web,7,0.4794023425768345,1,0,0
17633,2,Delhi,Android,9,0.4448396780948056,1,1,0
30480,8,Kolkata,Android,4,0.7106385955095474,1,1,0
55556,1,Kolkata,Web,3,2.6318631863186317,1,1,0
48554,17,Delhi,Android,1,16.43113367174281,0,1,1
59024,0,Bangalore,iOS,2,2.36341795467286,1,0,0
255,17,Kolkata,iOS,1,0.006733206590621039,1,0,0
14501,13,Mumbai,Web,8,0.43337019216401185,0,0,0
5040,22,Mumbai,Web,1,0.10144314956826278,1,0,0
4459,21,Kolkata,Android,4,0.15051984877126653,1,0,0
26160,4,Bangalore,Web,9,2.9955341806939195,0,0,0
7515,9,Kolkata,iOS,4,0.20181539866262052,0,1,0
49929,9,Mumbai,Android,2,2.9868987796123476,0,1,0
27373,20,Kolkata,Android,1,2.1944043610710278,1,1,0
54256,23,Kolkata,Android,2,1.8058245964386752,1,0,0
6221,10,Delhi,Web,4,0.44614170969592654,0,0,0
13696,1,Delhi,Web,1,2.1718997779892164,0,1,0
40572,9,Bangalore,Android,4,0.8268862348673216,1,0,0
55373,6,Mumbai,Android,9,10.591622035195103,0,1,1
41356,4,Delhi,iOS,10,13.103929024081115,1,0,1
54160,5,Kolkata,iOS,10,4.929910795557983,1,0,0
54069,1,Delhi,Android,5,1.2924345643599857,1,0,0
13319,18,Bangalore,iOS,6,0.27797140770113743,1,1,0
23274,7,Kolkata,Android,2,0.7807185267183254,0,1,0
33071,10,Delhi,iOS,1,1.1302846987251787,1,1,0
